audio,etiqueta,nombre
data\outputA\LA_E_1000200_2s.flac,spoof,LA_E_1000200
data\outputA\LA_E_1000624_2s.flac,spoof,LA_E_1000624
data\outputA\LA_E_1000636_2s.flac,spoof,LA_E_1000636
data\outputA\LA_E_1000657_2s.flac,spoof,LA_E_1000657
data\outputA\LA_E_1000854_2s.flac,spoof,LA_E_1000854
data\outputA\LA_E_1001250_2s.flac,spoof,LA_E_1001250
data\outputA\LA_E_1001434_2s.flac,spoof,LA_E_1001434
data\outputA\LA_E_1001516_2s.flac,bonafide,LA_E_1001516
data\outputA\LA_E_1001660_2s.flac,spoof,LA_E_1001660
data\outputA\LA_E_1001842_2s.flac,spoof,LA_E_1001842
data\outputA\LA_E_1001928_2s.flac,spoof,LA_E_1001928
data\outputA\LA_E_1002161_2s.flac,spoof,LA_E_1002161
data\outputA\LA_E_1002191_2s.flac,bonafide,LA_E_1002191
data\outputA\LA_E_1002323_2s.flac,spoof,LA_E_1002323
data\outputA\LA_E_1002362_2s.flac,spoof,LA_E_1002362
data\outputA\LA_E_1002735_2s.flac,spoof,LA_E_1002735
data\outputA\LA_E_1002886_2s.flac,spoof,LA_E_1002886
data\outputA\LA_E_1003037_2s.flac,bonafide,LA_E_1003037
data\outputA\LA_E_1003063_2s.flac,spoof,LA_E_1003063
data\outputA\LA_E_1003085_2s.flac,spoof,LA_E_1003085
data\outputA\LA_E_1003103_2s.flac,spoof,LA_E_1003103
data\outputA\LA_E_1003289_2s.flac,spoof,LA_E_1003289
data\outputA\LA_E_1003658_2s.flac,spoof,LA_E_1003658
data\outputA\LA_E_1003744_2s.flac,spoof,LA_E_1003744
data\outputA\LA_E_1003805_2s.flac,spoof,LA_E_1003805
data\outputA\LA_E_1003959_2s.flac,spoof,LA_E_1003959
data\outputA\LA_E_1004084_2s.flac,bonafide,LA_E_1004084
data\outputA\LA_E_1004588_2s.flac,spoof,LA_E_1004588
data\outputA\LA_E_1004632_2s.flac,bonafide,LA_E_1004632
data\outputA\LA_E_1004689_2s.flac,spoof,LA_E_1004689
data\outputA\LA_E_1005523_2s.flac,spoof,LA_E_1005523
data\outputA\LA_E_1005577_2s.flac,spoof,LA_E_1005577
data\outputA\LA_E_1005828_2s.flac,spoof,LA_E_1005828
data\outputA\LA_E_1005969_2s.flac,spoof,LA_E_1005969
data\outputA\LA_E_1005993_2s.flac,spoof,LA_E_1005993
data\outputA\LA_E_1006120_2s.flac,spoof,LA_E_1006120
data\outputA\LA_E_1006487_2s.flac,spoof,LA_E_1006487
data\outputA\LA_E_1006663_2s.flac,spoof,LA_E_1006663
data\outputA\LA_E_1006777_2s.flac,spoof,LA_E_1006777
data\outputA\LA_E_1007006_2s.flac,spoof,LA_E_1007006
data\outputA\LA_E_1007351_2s.flac,spoof,LA_E_1007351
data\outputA\LA_E_1007588_2s.flac,spoof,LA_E_1007588
data\outputA\LA_E_1007597_2s.flac,spoof,LA_E_1007597
data\outputA\LA_E_1007650_2s.flac,spoof,LA_E_1007650
data\outputA\LA_E_1007790_2s.flac,spoof,LA_E_1007790
data\outputA\LA_E_1007822_2s.flac,spoof,LA_E_1007822
data\outputA\LA_E_1007958_2s.flac,bonafide,LA_E_1007958
data\outputA\LA_E_1007967_2s.flac,bonafide,LA_E_1007967
data\outputA\LA_E_1008159_2s.flac,spoof,LA_E_1008159
data\outputA\LA_E_1008283_2s.flac,spoof,LA_E_1008283
data\outputA\LA_E_1008642_2s.flac,spoof,LA_E_1008642
data\outputA\LA_E_1008914_2s.flac,spoof,LA_E_1008914
data\outputA\LA_E_1008951_2s.flac,spoof,LA_E_1008951
data\outputA\LA_E_1009420_2s.flac,spoof,LA_E_1009420
data\outputA\LA_E_1009470_2s.flac,spoof,LA_E_1009470
data\outputA\LA_E_1009630_2s.flac,spoof,LA_E_1009630
data\outputA\LA_E_1009667_2s.flac,spoof,LA_E_1009667
data\outputA\LA_E_1009674_2s.flac,spoof,LA_E_1009674
data\outputA\LA_E_1009785_2s.flac,spoof,LA_E_1009785
data\outputA\LA_E_1009994_2s.flac,spoof,LA_E_1009994
data\outputA\LA_E_1010072_2s.flac,spoof,LA_E_1010072
data\outputA\LA_E_1010526_2s.flac,spoof,LA_E_1010526
